	champion	ck_rate	cs_per_min	kda	result	timestamp
373	렝가	41	3.3	1.55	승리	2017년 2월 12일 오전 2시 00분
374	렝가	52	3.8	1.50	패배	2017년 2월 12일 오전 1시 06분
375	렝가	51	4.3	1.92	패배	2017년 2월 11일 오후 7시 57분
376	렝가	39	4.6	2.17	승리	2017년 2월 11일 오후 7시 10분
377	오리아나	53	4.6	1.58	패배	2017년 2월 11일 오후 6시 27분
378	코르키	56	6.2	1.88	패배	2017년 2월 11일 오후 5시 38분
379	미스 포츈	56	1.1	1.25	패배	2017년 2월 11일 오후 4시 58분
380	미스 포츈	31	1.4	0.40	패배	2017년 2월 11일 오후 4시 20분
381	녹턴	50	5.3	3.78	승리	2017년 2월 11일 오전 4시 58분
382	렝가	45	5	10.00	승리	2017년 2월 11일 오전 4시 10분
383	코르키	62	6.5	4.67	승리	2017년 2월 11일 오전 3시 32분
384	빅토르	49	5	2.30	패배	2017년 2월 11일 오전 2시 04분
385	그레이브즈	41	4.9	1.09	패배	2017년 2월 11일 오전 1시 12분
386	바루스	57	6.9	1.60	패배	2017년 2월 11일 오전 12시 22분
387	바루스	67	5.6	2.00	패배	2017년 2월 10일 오후 11시 32분
388	다리우스	32	6.8	1.27	승리	2017년 2월 10일 오후 10시 53분
389	바루스	24	6.4	0.57	패배	2017년 2월 10일 오후 10시 06분
390	다리우스	22	7.2	0.50	패배	2017년 2월 10일 오후 9시 23분
391	바루스	60	6.9	3.00	패배	2017년 2월 10일 오후 7시 06분
392	바루스	52	6.4	5.50	승리	2017년 2월 10일 오후 6시 29분
393	바루스	56	7.3	2.50	승리	2017년 2월 10일 오후 5시 51분
394	바루스	47	7.7	4.67	승리	2017년 2월 10일 오후 5시 09분
395	진	45	6.5	4.25	승리	2017년 2월 10일 오후 4시 39분
396	바루스	49	7	3.33	승리	2017년 2월 10일 오후 3시 56분
397	진	63	6.7	5.20	승리	2017년 2월 10일 오후 3시 11분
398	애쉬	26	7.4	1.60	승리	2017년 2월 10일 오전 2시 49분
399	직스	42	5.4	0.83	패배	2017년 2월 10일 오전 2시 08분
400	직스	73	5.3	2.67	승리	2017년 2월 10일 오전 1시 37분
401	이즈리얼	60	6.2	15.00	승리	2017년 2월 10일 오전 12시 57분
402	마오카이	25	6.6	0.80	패배	2017년 2월 10일 오전 12시 06분
403	다리우스	29	9.4	6.00	승리	2017년 2월 9일 오후 11시 36분
404	진	67	6.3	5.00	승리	2017년 2월 9일 오후 10시 16분
405	다리우스	59	7.5	4.00	승리	2017년 2월 9일 오후 9시 23분
406	직스	74	5.9	11.50	승리	2017년 2월 9일 오후 8시 40분
407	직스	70	5.8	2.00	패배	2017년 2월 9일 오후 7시 09분
408	이즈리얼	64	7.4	2.33	패배	2017년 2월 9일 오후 6시 26분
409	말자하	22	1.6	0.33	패배	2017년 2월 9일 오후 5시 36분
410	판테온	50	6.7	5.67	승리	2017년 2월 9일 오후 3시 03분
411	직스	52	6.5	4.25	승리	2017년 2월 9일 오전 2시 43분
412	오공	58	4.3	2.80	패배	2017년 2월 9일 오전 2시 04분
413	직스	71	7.1	8.50	승리	2017년 2월 9일 오전 1시 25분
414	이즈리얼	58	7.4	1.00	패배	2017년 2월 9일 오전 12시 47분
415	다리우스	21	8.4	0.75	패배	2017년 2월 9일 오전 12시 02분
416	오공	30	4.9	2.50	승리	2017년 2월 8일 오후 10시 37분
417	애쉬	63	7.5	6.33	승리	2017년 2월 8일 오후 9시 59분
418	이즈리얼	56	6.2	2.11	패배	2017년 2월 8일 오후 9시 22분
419	다리우스	63	6.5	4.57	승리	2017년 2월 8일 오후 7시 29분
420	이즈리얼	60	6	0.60	패배	2017년 2월 8일 오후 6시 42분
421	빅토르	39	6.3	2.00	승리	2017년 2월 8일 오후 6시 13분
422	애쉬	23	6.3	0.43	패배	2017년 2월 8일 오후 5시 33분
423	진	44	6.2	3.67	승리	2017년 2월 8일 오후 5시 02분
424	이즈리얼	39	5.7	2.50	승리	2017년 2월 8일 오후 4시 26분
425	이즈리얼	29	7.4	0.50	패배	2017년 2월 8일 오후 3시 42분
426	빅토르	46	6.8	8.50	승리	2017년 2월 8일 오전 3시 00분
427	리 신	60	3.4	1.13	패배	2017년 2월 8일 오전 2시 11분
428	직스	66	5.4	3.50	패배	2017년 2월 8일 오전 1시 33분
429	애쉬	54	7.8	9.50	승리	2017년 2월 8일 오전 12시 44분
430	이즈리얼	53	7	5.67	승리	2017년 2월 8일 오전 12시 02분
431	이즈리얼	20	7.6	0.20	패배	2017년 2월 7일 오후 11시 14분
432	이즈리얼	55	7	6.00	승리	2017년 2월 7일 오후 10시 45분
433	말파이트	56	2.1	2.38	패배	2017년 2월 7일 오후 9시 25분
434	케이틀린	48	6.4	1.30	승리	2017년 2월 7일 오후 8시 41분
435	애쉬	46	6	3.80	승리	2017년 2월 7일 오후 7시 14분
436	이즈리얼	53	6.7	4.50	승리	2017년 2월 7일 오후 6시 32분
437	바루스	38	5.6	2.20	승리	2017년 2월 7일 오후 5시 54분
438	애쉬	69	7.2	7.75	승리	2017년 2월 7일 오후 5시 12분
439	코르키	57	5.3	1.33	패배	2017년 2월 7일 오후 4시 25분
440	이즈리얼	58	6.8	2.20	패배	2017년 2월 7일 오후 3시 58분
441	이즈리얼	37	8.3	10.00	승리	2017년 2월 7일 오후 3시 21분
442	이즈리얼	53	6.4	2.00	패배	2017년 2월 7일 오전 2시 35분
443	애쉬	34	7	5.00	승리	2017년 2월 7일 오전 1시 55분
444	애쉬	67	6.4	3.00	승리	2017년 2월 7일 오전 1시 18분
445	이즈리얼	61	6	2.43	패배	2017년 2월 7일 오전 12시 10분
446	이즈리얼	29	5.4	0.50	패배	2017년 2월 6일 오후 11시 31분
447	그라가스	56	3.1	2.50	패배	2017년 2월 6일 오후 9시 03분
448	이즈리얼	54	6.8	3.17	승리	2017년 2월 6일 오후 8시 26분
449	그라가스	64	3.7	4.60	승리	2017년 2월 6일 오후 6시 54분
450	이즈리얼	47	8.5	1.60	패배	2017년 2월 6일 오후 6시 04분
451	베이가	54	1.3	1.36	패배	2017년 2월 6일 오후 4시 46분
452	이즈리얼	61	7	3.33	승리	2017년 2월 6일 오후 4시 05분
453	마오카이	57	8.5	4.00	패배	2017년 2월 6일 오후 3시 20분
454	이즈리얼	63	6.3	6.00	승리	2017년 2월 6일 오후 2시 43분
455	엘리스	33	4	0.25	패배	2017년 2월 6일 오후 12시 40분
